Source: USDA National Nutrient Database for Standard Reference 28 Software v.3.5.5.2 2016-11-26
"Nutrients: Protein (g); Carbohydrate, by difference (g); Total lipid (fat) (g)"
"Food Groups: Baked Products; Breakfast Cereals; Cereal Grains and Pasta; Fats and Oils; Fruits and Fruit Juices; Legumes and Legume Products; Nut and Seed Products; Spices and Herbs; Vegetables and Vegetable Products"
Food Subset:Abridged List
Ordered by:Food Name
Measured by:100 g
Report Run at: 11-29-2016T06:38
NDB_NO,Description,"Protein"(g)Per 100 g,"Carbohydrate, by difference"(g)Per 100 g,"Total lipid (fat)"(g)Per 100 g,
11004,"Amaranth leaves, cooked, boiled, drained, without salt",2.11,4.11,0.18,,
09014,"Apples, frozen, unsweetened, unheated",0.28,12.31,0.32,,
09004,"Apples, raw, without skin",0.27,12.76,0.13,,
09020,"Applesauce, canned, sweetened, without salt (includes USDA commodity)",0.16,17.49,0.17,,
09027,"Apricots, canned, heavy syrup pack, with skin, solids and liquids",0.53,21.47,0.08,,
09357,"Apricots, canned, heavy syrup, drained",0.64,21.31,0.11,,
09030,"Apricots, dehydrated (low-moisture), sulfured, uncooked",4.9,82.89,0.62,,
09033,"Apricots, dried, sulfured, stewed, without added sugar",1.2,22.15,0.18,,
18527,"ARCHWAY Home Style Cookies, Date Filled Oatmeal",4.67,68.16,12.05,,
18532,"ARCHWAY Home Style Cookies, Iced Molasses",3.5,69.12,14.43,,
18533,"ARCHWAY Home Style Cookies, Iced Oatmeal",4.89,66.76,16.53,,
18535,"ARCHWAY Home Style Cookies, Molasses",4.25,69.41,12.06,,
18544,"ARCHWAY Home Style Cookies, Raspberry Filled",4.35,65.92,13.26,,
11006,"Arrowhead, cooked, boiled, drained, without salt",4.49,16.14,0.1,,
18566,"Artificial Blueberry Muffin Mix, dry",4.7,77.45,8.7,,
11959,"Arugula, raw",2.58,3.65,0.66,,
11015,"Asparagus, canned, drained solids",2.14,2.46,0.65,,
11013,"Asparagus, canned, regular pack, solids and liquids",1.8,2.48,0.18,,
11012,"Asparagus, cooked, boiled, drained",2.4,4.11,0.22,,
11019,"Asparagus, frozen, cooked, boiled, drained, without salt",2.95,1.92,0.42,,
18986,"AUSTIN, Grilled Cheese on Wafer Crackers, sandwich-type",7.9,62.0,23.8,,
18989,"AUSTIN, Peanut Butter on Toasty Crackers, sandwich-type, reduced fat",9.5,67.2,18.0,,
18007,"Bagels, oat bran",10.7,53.3,1.2,,
18001,"Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame)",10.56,52.38,1.32,,
18002,"Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame), toasted",11.14,57.39,1.43,,
11024,"Balsam-pear (bitter gourd), pods, raw",1.0,3.7,0.17,,
11026,"Bamboo shoots, raw",2.6,5.2,0.3,,
20130,"Barley flour or meal",10.5,74.52,1.6,,
16001,"Beans, adzuki, mature seeds, raw",19.87,62.9,0.53,,
16009,"Beans, baked, canned, with pork",5.19,19.99,1.55,,
16018,"Beans, black turtle, mature seeds, canned",6.03,16.55,0.29,,
16017,"Beans, black turtle, mature seeds, cooked, boiled, without salt",8.18,24.35,0.35,,
16014,"Beans, black, mature seeds, raw",21.6,62.36,1.42,,
11029,"Beans, kidney, mature seeds, sprouted, raw",4.2,4.1,0.5,,
16040,"Beans, pink, mature seeds, raw",20.96,64.19,1.13,,
11048,"Beans, pinto, immature seeds, frozen, unprepared",9.8,32.5,0.5,,
11061,"Beans, snap, green, frozen, cooked, boiled, drained without salt",1.49,6.45,0.17,,
18993,"BEAR NAKED, Double Chocolate Cookies",6.6,66.9,16.9,,
18994,"BEAR NAKED, Fruit  &  Nut Cookies",7.5,61.6,21.4,,
11086,"Beet greens, raw",2.2,4.33,0.13,,
11082,"Beets, canned, regular pack, solids and liquids",0.73,7.14,0.09,,
11080,"Beets, raw",1.61,9.56,0.17,,
18017,"Biscuits, mixed grain, refrigerated dough",6.1,47.4,5.6,,
18010,"Biscuits, plain or buttermilk, dry mix",8.0,63.4,15.4,,
18009,"Biscuits, plain or buttermilk, frozen, baked",6.2,53.87,11.03,,
18014,"Biscuits, plain or buttermilk, refrigerated dough, higher fat",6.66,46.32,10.58,,
09048,"Blackberries, frozen, unsweetened",1.18,15.67,0.43,,
09043,"Blackberry juice, canned",0.3,7.8,0.6,,
09055,"Blueberries, frozen, sweetened",0.4,21.95,0.13,,
09353,"Blueberries, wild, canned, heavy syrup, drained",0.56,28.32,0.34,,
09056,"Boysenberries, canned, heavy syrup",0.99,22.31,0.12,,
09057,"Boysenberries, frozen, unsweetened",1.1,12.19,0.26,,
18081,"Bread stuffing, bread, dry mix",11.0,76.2,3.4,,
18084,"Bread stuffing, cornbread, dry mix",10.0,76.7,4.2,,
18085,"Bread stuffing, cornbread, dry mix, prepared",2.9,21.9,8.8,,
18972,"Bread, cheese",10.42,44.83,20.83,,
18023,"Bread, cornbread, dry mix, prepared with 2% milk, 80% margarine, and eggs",6.59,54.46,9.58,,
18024,"Bread, cornbread, prepared from recipe, made with low fat (2%) milk",6.7,43.5,7.1,,
18025,"Bread, cracked-wheat",8.7,49.5,3.9,,
18030,"Bread, french or vienna, toasted (includes sourdough)",13.0,61.93,2.14,,
18032,"Bread, irish soda, prepared from recipe",6.6,56.0,5.0,,
18037,"Bread, oat bran",10.4,39.8,4.4,,
18040,"Bread, oatmeal, toasted",9.2,52.7,4.8,,
18955,"Bread, pan dulce, sweet yeast bread",9.42,56.38,11.58,,
18041,"Bread, pita, white, enriched",9.1,55.7,1.2,,
18954,"Bread, pound cake type, pan de torta salvadoran",7.06,51.29,17.45,,
18043,"Bread, protein (includes gluten)",12.1,43.8,2.2,,
18051,"Bread, reduced-calorie, oatmeal",7.6,43.3,3.5,,
18055,"Bread, reduced-calorie, wheat",13.32,42.47,2.92,,
18057,"Bread, reduced-calorie, white",8.7,44.3,2.5,,
18060,"Bread, rye",8.5,48.3,3.3,,
18953,"Bread, salvadoran sweet cheese (quesadilla salvadorena)",7.12,47.84,17.12,,
18064,"Bread, wheat",10.67,47.54,4.53,,
18066,"Bread, wheat bran",8.8,47.8,3.4,,
18385,"Bread, wheat germ, toasted",10.7,54.3,3.3,,
18967,"Bread, white wheat",10.66,43.91,2.15,,
18070,"Bread, white, commercially prepared, toasted",9.0,54.5,4.0,,
18075,"Bread, whole-wheat, commercially prepared",12.45,42.71,3.5,,
09059,"Breadfruit, raw",1.07,27.12,0.23,,
11096,"Broccoli raab, raw",3.17,2.85,0.49,,
11093,"Broccoli, frozen, chopped, cooked, boiled, drained, without salt",3.1,5.35,0.12,,
11092,"Broccoli, frozen, chopped, unprepared",2.81,4.78,0.29,,
11098,"Brussels sprouts, raw",3.38,8.95,0.3,,
11105,"Burdock root, cooked, boiled, drained, without salt",2.09,21.15,0.14,,
11754,"Cabbage, chinese (pak-choi), cooked, boiled, drained, with salt",1.56,1.78,0.16,,
11117,"Cabbage, chinese (pak-choi), cooked, boiled, drained, without salt",1.56,1.78,0.16,,
11119,"Cabbage, chinese (pe-tsai), raw",1.2,3.23,0.2,,
18086,"Cake, angelfood, commercially prepared",5.9,57.8,0.8,,
18088,"Cake, angelfood, dry mix, prepared",6.1,58.7,0.3,,
18095,"Cake, cherry fudge with chocolate frosting",2.4,38.0,12.5,,
18101,"Cake, chocolate, prepared from recipe without frosting",5.3,53.4,15.1,,
18112,"Cake, pudding-type, german chocolate, dry mix",4.17,81.25,3.24,,
