Source: USDA National Nutrient Database for Standard Reference 28 Software v.3.5.5.2 2016-11-26
"Nutrients: Protein (g); Carbohydrate, by difference (g); Total lipid (fat) (g)"
"Food Groups: Fast Foods; Fats and Oils; Meals, Entrees, and Side Dishes; Restaurant Foods; Snacks; Soups, Sauces, and Gravies; Sweets"
Food Subset:Abridged List
Ordered by:Food Name
Measured by:100 g
Report Run at: 11-29-2016T06:50
NDB_NO,Description,"Protein"(g)Per 100 g,"Carbohydrate, by difference"(g)Per 100 g,"Total lipid (fat)"(g)Per 100 g,
19146,"Baking chocolate, MARS SNACKFOOD US, M & M's Milk Chocolate Mini Baking Bits",4.78,68.4,23.36,,
19139,"Baking chocolate, MARS SNACKFOOD US, M & M's Semisweet Chocolate Mini Baking Bits",4.44,65.96,26.15,,
06393,"CAMPBELL'S CHUNKY Soups, Chicken Corn Chowder",2.86,8.16,4.08,,
06395,"CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup",3.41,5.41,1.3,,
06041,"CAMPBELL'S Red and White, Chicken and Dumplings Soup, condensed",2.38,7.94,1.98,,
06333,"CAMPBELL'S Red and White, Cream of Broccoli Soup, condensed",1.61,9.68,4.03,,
06340,"CAMPBELL'S Red and White, Cream of Onion Soup, condensed",0.81,8.06,4.84,,
06353,"CAMPBELL'S Red and White, Fiesta Nacho Cheese Soup, condensed",2.42,8.06,6.45,,
06365,"CAMPBELL'S Red and White, Mega Noodle in Chicken Broth, condensed",2.38,11.9,1.59,,
06337,"CAMPBELL'S, Cream of Chicken with Herbs Soup, condensed",1.61,7.26,3.23,,
19098,"Candies, 5TH AVENUE Candy Bar",8.78,62.68,23.98,,
19076,"Candies, caramels, chocolate-flavor roll",1.59,87.73,3.31,,
19905,"Candies, chocolate, dark, NFS (45-59% cacao solids 90%; 60-69% cacao solids 5%; 70-85% cacao solids 5%)",5.09,59.97,32.2,,
19086,"Candies, confectioner's coating, peanut butter",18.3,46.88,29.8,,
19268,"Candies, dark chocolate coated coffee beans",7.5,59.95,30.0,,
19101,"Candies, fudge, chocolate, with nuts, prepared-from-recipe",4.38,67.93,18.93,,
19248,"Candies, HERSHEY'S, ALMOND JOY BITES",5.58,57.54,34.5,,
19250,"Candies, HERSHEY, KIT KAT BIG KAT Bar",6.24,63.64,27.84,,
19159,"Candies, MARS SNACKFOOD US, 3 MUSKETEERS Bar",2.6,77.77,12.75,,
19141,"Candies, MARS SNACKFOOD US, M & M's Milk Chocolate Candies",4.33,71.19,21.13,,
19306,"Candies, MARS SNACKFOOD US, POP'ABLES SNICKERS Brand Bite Size Candies",7.15,61.07,24.32,,
19156,"Candies, MARS SNACKFOOD US, STARBURST Fruit Chews, Original fruits",0.41,82.57,8.21,,
19142,"Candies, MOUNDS Candy Bar",4.6,58.59,26.6,,
19144,"Candies, NESTLE, 100 GRAND Bar",2.5,70.97,19.33,,
19069,"Candies, NESTLE, BUTTERFINGER Bar",5.4,72.9,18.9,,
19913,"Candies, NESTLE, BUTTERFINGER Crisp",6.67,68.45,18.33,,
19145,"Candies, NESTLE, CRUNCH Bar and Dessert Topping",5.0,67.0,26.0,,
19138,"Candies, truffles, prepared-from-recipe",6.21,44.88,33.76,,
19067,"Candies, TWIZZLERS CHERRY BITES",2.97,79.38,1.7,,
19181,"Candies, YORK BITES",1.78,81.64,7.32,,
19091,"Candies, YORK Peppermint Pattie",2.19,80.99,7.17,,
19903,"Chocolate, dark, 60-69% cacao solids",6.12,52.42,38.31,,
19125,"Chocolate-flavored hazelnut spread",5.41,62.16,29.73,,
19182,"Desserts, mousse, chocolate, prepared-from-recipe",4.14,16.07,16.0,,
21474,"DIGIORNO Pizza, cheese topping, rising crust, frozen, baked",12.8,31.78,8.6,,
21006,"Fast foods, biscuit with egg and steak",12.12,14.37,19.21,,
21002,"Fast foods, biscuit, with egg",8.53,23.46,16.23,,
21003,"Fast foods, biscuit, with egg and bacon",11.33,19.06,20.73,,
21005,"Fast Foods, biscuit, with egg and sausage",11.13,21.05,20.77,,
21013,"Fast foods, croissant, with egg, cheese, and ham",12.45,18.98,14.95,,
21014,"Fast foods, croissant, with egg, cheese, and sausage",12.09,15.9,21.78,,
21021,"Fast foods, english muffin, with egg, cheese, and canadian bacon",13.64,21.67,9.66,,
21023,"Fast foods, french toast with butter",7.66,26.7,13.9,,
21110,"Fast foods, hamburger; double, regular, patty; plain",17.08,24.1,14.36,,
04001,"Fat, beef tallow",0.0,--,100.0,,
19187,"Flan, caramel custard, dry mix",0.0,91.6,--,,
19227,"Frostings, coconut-nut, ready-to-eat",1.5,52.7,24.0,,
19409,"Frostings, glaze, chocolate, prepared-from-recipe, with butter, NFSMI Recipe No. C-32",1.42,72.18,7.17,,
19873,"Frozen novelties, ice type, sugar free, orange, cherry, and grape POPSICLE pops",0.0,5.14,--,,
19874,"Frozen novelties, KLONDIKE, SLIM-A-BEAR Fudge Bar, 98% fat free, no sugar added",4.31,30.07,1.88,,
19871,"Frozen novelties, No Sugar Added, FUDGSICLE pops",3.67,23.11,1.87,,
19702,"Gelatin desserts, dry mix, with added ascorbic acid, sodium-citrate and salt",7.8,90.5,0.0,,
06116,"Gravy, beef, canned, ready-to-serve",3.75,4.81,2.36,,
06957,"Gravy, brown instant, dry",8.53,59.78,11.85,,
06997,"Gravy, CAMPBELL'S, beef",1.69,5.08,--,,
06322,"Gravy, CAMPBELL'S, mushroom",0.0,5.08,1.69,,
06326,"Gravy, CAMPBELL'S, turkey",1.69,5.08,--,,
06991,"HEALTHY REQUEST, Tomato Soup, condensed",1.61,13.71,1.21,,
06992,"HEALTHY REQUEST, Vegetable Soup, condensed",3.17,15.87,0.79,,
19893,"Ice creams, BREYERS, All Natural Light French Chocolate",5.3,29.68,7.28,,
19879,"Ice creams, BREYERS, All Natural Light Mint Chocolate Chip",4.69,28.39,7.09,,
19875,"Ice creams, BREYERS, All Natural Light Vanilla",4.84,25.3,4.59,,
19260,"Ice creams, vanilla, light, no sugar added",3.97,21.42,7.45,,
04585,"Margarine-like, margarine-butter blend, soybean oil and butter",0.31,0.77,80.32,,
21403,"McDONALD'S, Premium Crispy Chicken Classic Sandwich",12.08,25.46,8.68,,
21404,"McDONALD'S, Premium Grilled Chicken Club Sandwich",17.19,19.87,8.05,,
04582,"Oil, canola",0.0,--,100.0,,
04501,"Oil, cocoa butter",0.0,--,100.0,,
04583,"Oil, mustard",0.0,--,100.0,,
04053,"Oil, olive, salad or cooking",0.0,--,100.0,,
04510,"Oil, safflower, salad or cooking, linoleic, (over 70%)",0.0,--,100.0,,
04058,"Oil, sesame, salad or cooking",0.0,--,100.0,,
04543,"Oil, soybean, salad or cooking, (partially hydrogenated) and cottonseed",0.0,--,100.0,,
04584,"Oil, sunflower, high oleic (70% and over)",0.0,--,100.0,,
19436,"Popcorn, sugar syrup/caramel, fat-free",2.0,90.06,1.4,,
21415,"POPEYES, biscuit",6.0,40.95,23.71,,
21416,"POPEYES, Coleslaw",0.98,14.12,11.18,,
21417,"POPEYES, Mild Chicken Strips, analyzed 2006",19.2,19.31,13.01,,
21418,"POPEYES, Spicy Chicken Strips, analyzed 2006",19.61,18.52,11.2,,
06229,"PREGO Pasta, Mushroom and Garlic Italian Sauce, ready-to-serve",1.54,10.0,1.92,,
19706,"Puddings, banana, dry mix, regular, with added oil",0.0,88.4,5.0,,
19189,"Puddings, chocolate, dry mix, regular, prepared with whole milk",3.16,19.64,3.15,,
19183,"Puddings, chocolate, ready-to-eat",2.09,23.01,4.6,,
19235,"Puddings, chocolate, ready-to-eat, fat free",1.93,20.87,0.3,,
19708,"Puddings, lemon, dry mix, regular, with added oil, potassium, sodium",0.1,90.3,1.5,,
19193,"Puddings, rice, ready-to-eat",3.23,18.39,2.15,,
19709,"Puddings, tapioca, dry mix, with no added salt",0.1,94.3,--,,
19234,"Puddings, tapioca, ready-to-eat, fat free",1.44,21.31,0.35,,
19710,"Puddings, vanilla, dry mix, regular, with added oil",0.3,92.4,1.1,,
04133,"Salad dressing, french, home recipe",0.1,3.4,70.2,,
04013,"Salad dressing, KRAFT Mayo Fat Free Mayonnaise Dressing",0.2,15.8,0.0,,
04018,"Salad dressing, mayonnaise type, regular, with salt",0.65,14.78,21.6,,
04028,"Salad dressing, mayonnaise, imitation, milk cream",2.1,11.1,5.1,,
04027,"Salad dressing, mayonnaise, imitation, soybean",0.3,16.0,19.2,,
04025,"Salad dressing, mayonnaise, regular",0.96,0.57,74.85,,
04026,"Salad dressing, mayonnaise, soybean and safflower oil, with salt",1.1,2.7,79.4,,
04022,"Salad dressing, russian dressing, low calorie",0.5,27.6,4.0,,
04016,"Salad dressing, sesame seed dressing, regular",3.1,8.6,45.2,,
04023,"Salad dressing, thousand island dressing, reduced fat",0.83,24.06,11.32,,
06930,"Sauce, cheese, ready-to-serve",6.71,6.83,13.29,,
04546,"Shortening bread, soybean (hydrogenated) and cottonseed",0.0,--,100.0,,
19007,"Snacks, corn-based, extruded, onion-flavor",7.7,65.1,22.6,,
19008,"Snacks, corn-based, extruded, puffs or twists, cheese-flavor",5.46,54.54,36.54,,
19010,"Snacks, crisped rice bar, chocolate chip",5.1,73.0,13.5,,
19014,"Snacks, fruit leather, rolls",0.1,85.8,3.0,,
19033,"Snacks, GENERAL MILLS, CHEX MIX, traditional flavor",8.83,75.69,10.0,,
19021,"Snacks, granola bars, soft, uncoated, peanut butter",10.5,64.4,15.8,,
19438,"Snacks, KELLOGG, KELLOGG'S RICE KRISPIES TREATS Squares",3.4,80.5,9.0,,
19031,"Snacks, oriental mix, rice-based",17.31,51.62,25.58,,
19408,"Snacks, pork skins, barbecue-flavor",57.9,1.6,31.8,,
19042,"Snacks, potato chips, barbecue-flavor",6.51,55.92,31.06,,
19437,"Snacks, potato chips, fat free, salted",9.64,83.76,0.6,,
19423,"Snacks, potato chips, fat-free, made with olestra",7.74,65.0,0.7,,
19412,"Snacks, potato chips, made from dried potatoes, cheese-flavor",7.0,50.6,37.0,,
19445,"Snacks, potato chips, made from dried potatoes, fat-free, made with olestra",5.06,56.0,0.93,,
19415,"Snacks, potato sticks",6.7,53.3,34.4,,
19050,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",11.1,81.3,2.6,,
19052,"Snacks, rice cakes, brown rice, buckwheat",9.0,80.1,3.5,,
19413,"Snacks, rice cakes, brown rice, corn",8.4,81.2,3.2,,
19414,"Snacks, rice cakes, brown rice, multigrain",8.5,80.1,3.5,,
19444,"Snacks, tortilla chips, low fat, made with olestra, nacho cheese",8.44,65.22,3.53,,
19424,"Snacks, tortilla chips, nacho-flavor, reduced fat",8.7,71.6,15.2,,
19058,"Snacks, tortilla chips, ranch-flavor",7.19,62.74,24.63,,
